"Kod";"Nazwa";"styczeń;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"styczeń;kurczęta patroszone - za 1kg;cena;2015;[zł]";"styczeń;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"styczeń;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"styczeń;margaryna - za 400 g;cena;2015;[zł]";"styczeń;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"styczeń;ziemniaki - za 1 kg;cena;2015;[zł]";"styczeń;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"styczeń;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"styczeń;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"luty;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"luty;kurczęta patroszone - za 1kg;cena;2015;[zł]";"luty;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"luty;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"luty;margaryna - za 400 g;cena;2015;[zł]";"luty;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"luty;ziemniaki - za 1 kg;cena;2015;[zł]";"luty;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"luty;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"luty;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"marzec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"marzec;kurczęta patroszone - za 1kg;cena;2015;[zł]";"marzec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"marzec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"marzec;margaryna - za 400 g;cena;2015;[zł]";"marzec;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"marzec;ziemniaki - za 1 kg;cena;2015;[zł]";"marzec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"marzec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"marzec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"kwiecień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"kwiecień;kurczęta patroszone - za 1kg;cena;2015;[zł]";"kwiecień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"kwiecień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"kwiecień;margaryna - za 400 g;cena;2015;[zł]";"kwiecień;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"kwiecień;ziemniaki - za 1 kg;cena;2015;[zł]";"kwiecień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"kwiecień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"kwiecień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"maj;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"maj;kurczęta patroszone - za 1kg;cena;2015;[zł]";"maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"maj;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"maj;margaryna - za 400 g;cena;2015;[zł]";"maj;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"maj;ziemniaki - za 1 kg;cena;2015;[zł]";"maj;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"maj;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"czerwiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"czerwiec;kurczęta patroszone - za 1kg;cena;2015;[zł]";"czerwiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"czerwiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"czerwiec;margaryna - za 400 g;cena;2015;[zł]";"czerwiec;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"czerwiec;ziemniaki - za 1 kg;cena;2015;[zł]";"czerwiec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"czerwiec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"czerwiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"lipiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"lipiec;kurczęta patroszone - za 1kg;cena;2015;[zł]";"lipiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"lipiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"lipiec;margaryna - za 400 g;cena;2015;[zł]";"lipiec;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"lipiec;ziemniaki - za 1 kg;cena;2015;[zł]";"lipiec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"lipiec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"lipiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"sierpień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"sierpień;kurczęta patroszone - za 1kg;cena;2015;[zł]";"sierpień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"sierpień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"sierpień;margaryna - za 400 g;cena;2015;[zł]";"sierpień;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"sierpień;ziemniaki - za 1 kg;cena;2015;[zł]";"sierpień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"sierpień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"sierpień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"wrzesień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"wrzesień;kurczęta patroszone - za 1kg;cena;2015;[zł]";"wrzesień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"wrzesień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"wrzesień;margaryna - za 400 g;cena;2015;[zł]";"wrzesień;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"wrzesień;ziemniaki - za 1 kg;cena;2015;[zł]";"wrzesień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"wrzesień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"wrzesień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"październik;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"październik;kurczęta patroszone - za 1kg;cena;2015;[zł]";"październik;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"październik;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"październik;margaryna - za 400 g;cena;2015;[zł]";"październik;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"październik;ziemniaki - za 1 kg;cena;2015;[zł]";"październik;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"październik;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"październik;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"listopad;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"listopad;kurczęta patroszone - za 1kg;cena;2015;[zł]";"listopad;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"listopad;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"listopad;margaryna - za 400 g;cena;2015;[zł]";"listopad;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"listopad;ziemniaki - za 1 kg;cena;2015;[zł]";"listopad;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"listopad;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"listopad;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";"grudzień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2015;[zł]";"grudzień;kurczęta patroszone - za 1kg;cena;2015;[zł]";"grudzień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;[zł]";"grudzień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2015;[zł]";"grudzień;margaryna - za 400 g;cena;2015;[zł]";"grudzień;olej rzepakowy produkcji krajowej - za 1l;cena;2015;[zł]";"grudzień;ziemniaki - za 1 kg;cena;2015;[zł]";"grudzień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2015;[zł]";"grudzień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;[zł]";"grudzień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2015;[zł]";
0000000;"POLSKA";32,58;6,90;2,50;4,35;3,93;6,07;0,83;65,53;191,48;3,68;32,45;6,91;2,51;4,32;4,01;6,06;0,82;65,43;191,68;3,69;32,28;6,95;2,49;4,28;3,99;6,02;0,82;68,12;193,87;3,70;32,51;6,96;2,47;4,26;3,98;5,96;0,82;67,30;194,16;3,71;32,47;6,75;2,45;4,21;3,99;5,85;0,94;66,76;194,77;3,73;32,32;7,10;2,45;4,15;3,95;5,91;1,76;65,73;194,77;3,74;32,22;7,12;2,45;4,07;3,94;5,86;1,32;64,55;193,85;3,74;32,10;7,28;2,41;4,03;3,91;5,76;1,15;65,61;193,46;3,74;32,03;7,39;2,41;3,96;3,95;5,86;1,17;67,53;194,95;3,75;31,84;7,00;2,40;3,97;3,87;5,83;1,16;69,36;197,67;3,75;32,15;6,89;2,39;3,98;3,88;5,84;1,18;68,92;198,44;3,76;32,23;6,60;2,36;3,98;3,89;5,82;1,19;68,13;197,64;3,76;
0200000;"DOLNOŚLĄSKIE";34,83;6,71;2,61;4,46;3,50;6,52;0,83;62,06;177,46;4,23;34,69;6,78;2,62;4,35;3,43;6,37;0,79;63,77;176,87;4,23;35,13;6,71;2,60;4,40;3,58;6,63;0,79;64,50;184,11;4,28;35,28;6,83;2,55;4,37;3,47;6,52;0,80;64,32;181,87;4,28;35,04;6,57;2,59;4,31;3,48;6,38;0,98;63,91;184,52;4,32;34,86;6,87;2,60;4,25;3,70;6,50;1,38;63,26;184,52;4,33;34,68;7,06;2,65;4,17;3,52;6,35;1,31;60,32;184,52;4,33;34,66;7,21;2,59;4,20;3,51;6,39;1,21;62,67;186,40;4,33;34,19;7,31;2,56;3,88;3,72;6,37;1,25;64,26;190,60;4,33;34,01;6,91;2,50;3,95;3,57;6,33;1,23;64,14;190,38;4,33;34,63;6,70;2,50;4,11;3,44;6,35;1,25;64,91;195,29;4,33;34,42;6,43;2,49;4,08;3,54;6,20;1,23;64,50;191,76;4,33;
0400000;"KUJAWSKO-POMORSKIE";35,59;7,01;2,42;4,30;3,59;5,76;0,85;72,83;198,00;3,37;35,94;6,89;2,41;4,32;3,61;5,77;0,83;73,45;195,07;3,37;36,01;6,95;2,36;4,31;3,71;5,78;0,82;77,67;198,31;3,38;35,55;7,04;2,37;4,26;3,71;5,68;0,83;76,69;198,31;3,39;35,24;6,66;2,29;4,30;3,72;5,26;1,01;77,15;198,31;3,39;35,94;7,09;2,37;4,26;3,74;5,41;1,85;73,73;197,97;3,39;36,40;7,17;2,35;4,26;3,46;5,21;1,28;72,12;197,97;3,39;34,94;7,36;2,33;4,00;3,59;5,23;1,03;71,31;197,00;3,39;34,60;7,70;2,25;4,19;3,68;5,41;1,02;71,31;202,23;3,39;34,41;7,04;2,32;4,25;3,64;5,51;1,02;71,31;203,69;3,39;35,10;7,27;2,32;4,14;3,70;5,40;1,07;73,14;203,69;3,39;35,27;6,99;2,32;4,22;3,70;5,36;1,08;73,14;201,74;3,39;
0600000;"LUBELSKIE";29,71;7,25;2,50;4,27;3,30;6,04;0,90;76,34;216,15;2,82;30,03;7,30;2,45;4,45;3,31;6,13;0,88;76,02;216,15;2,82;29,90;7,42;2,42;4,29;3,52;5,99;0,86;74,42;217,30;2,82;30,18;7,35;2,42;4,20;3,48;5,96;0,98;73,73;219,91;2,84;30,21;6,94;2,45;4,12;3,41;5,73;1,04;73,99;219,91;2,85;30,35;7,33;2,44;4,02;3,39;5,89;1,75;73,99;218,91;2,87;29,41;7,30;2,44;3,95;3,43;5,90;1,39;73,22;222,07;2,87;28,84;7,21;2,38;4,01;3,47;5,57;1,29;72,84;222,45;2,90;28,88;7,32;2,38;3,94;3,48;5,71;1,32;73,76;215,14;2,90;29,81;6,92;2,40;3,91;3,48;5,79;1,28;76,07;227,68;2,90;29,90;6,92;2,37;3,92;3,42;5,81;1,27;76,07;232,30;2,90;29,78;6,72;2,31;4,03;3,48;5,56;1,31;73,56;232,30;2,90;
0800000;"LUBUSKIE";35,03;7,14;2,48;4,39;3,61;5,79;0,93;67,30;224,78;4,19;34,06;6,84;2,50;4,34;3,63;5,84;0,88;63,52;223,67;4,19;34,06;6,96;2,48;4,36;3,58;5,83;0,89;68,30;222,56;4,19;34,06;6,88;2,52;4,37;3,61;5,86;0,89;66,30;222,56;4,23;34,06;6,48;2,49;4,08;3,61;5,88;1,08;65,85;222,56;4,33;34,16;7,04;2,43;4,24;3,42;5,89;1,91;59,52;222,56;4,33;34,13;7,10;2,46;4,08;3,53;5,74;1,20;60,63;222,56;4,33;33,83;7,31;2,31;4,13;3,51;5,52;1,01;60,30;217,00;4,33;33,37;7,62;2,47;3,99;3,52;5,83;1,07;72,41;220,33;4,33;32,48;7,36;2,44;3,97;3,35;5,70;1,10;69,41;220,33;4,33;33,21;6,81;2,41;4,02;3,50;5,66;1,11;69,41;220,33;4,33;33,69;7,03;2,24;4,06;3,37;5,79;1,17;65,09;224,11;4,33;
1000000;"ŁÓDZKIE";29,98;6,74;2,46;4,25;4,03;6,02;0,78;50,74;206,49;3,43;29,83;6,81;2,44;4,12;4,22;6,12;0,70;50,89;205,78;3,43;29,69;6,85;2,42;4,09;4,13;6,03;0,69;58,46;205,06;3,43;30,05;6,81;2,43;4,15;4,09;5,86;0,68;58,46;206,06;3,43;29,26;6,58;2,41;4,13;4,27;5,83;0,84;57,75;205,71;3,45;29,94;6,98;2,37;4,00;4,28;5,90;1,95;54,33;206,42;3,45;30,05;7,08;2,37;4,04;4,15;5,77;1,09;54,60;207,85;3,46;30,40;7,28;2,34;3,78;4,21;5,85;1,01;57,46;207,85;3,49;29,63;7,48;2,31;3,81;4,18;6,03;1,02;57,89;205,78;3,54;29,88;6,86;2,32;3,86;4,20;5,88;1,04;60,03;218,63;3,54;30,82;6,71;2,31;3,77;4,32;5,67;1,06;59,32;219,35;3,56;31,17;6,35;2,31;3,79;4,18;5,68;1,04;58,16;220,78;3,55;
1200000;"MAŁOPOLSKIE";29,11;7,01;2,62;4,57;4,21;6,29;0,69;63,15;193,31;3,93;29,07;6,88;2,67;4,48;4,22;6,08;0,70;63,76;199,45;3,93;28,64;6,94;2,64;4,42;4,22;6,00;0,70;64,22;199,45;3,95;29,77;6,72;2,62;4,33;4,21;5,87;0,71;62,22;195,68;3,95;29,84;6,86;2,63;4,37;4,42;5,83;0,76;61,99;195,68;4,05;29,18;7,24;2,63;4,28;4,26;5,93;1,61;61,99;195,68;4,06;29,23;7,20;2,62;4,22;4,32;6,09;1,21;60,73;195,68;4,06;29,49;7,44;2,59;4,17;4,13;6,10;1,06;64,53;195,68;4,07;29,43;7,49;2,58;4,05;4,27;5,97;1,06;65,99;196,61;4,07;29,19;6,99;2,60;4,19;4,25;5,96;1,07;66,14;196,91;4,07;29,83;6,96;2,61;4,19;4,31;5,88;1,05;65,83;192,24;4,07;29,38;6,48;2,56;4,08;4,10;5,82;1,05;66,29;198,68;4,07;
1400000;"MAZOWIECKIE";31,66;6,96;2,60;4,62;4,05;6,25;0,83;73,34;192,71;3,56;31,11;7,09;2,58;4,46;4,19;6,36;0,84;75,96;195,63;3,56;30,46;7,07;2,56;4,18;4,15;6,34;0,83;75,44;199,42;3,56;30,65;7,14;2,55;4,35;4,17;6,27;0,82;74,48;201,92;3,58;30,88;6,95;2,51;4,31;4,22;6,09;0,91;75,28;206,76;3,59;30,70;7,28;2,51;4,21;4,18;6,15;1,90;73,76;205,92;3,59;30,89;7,35;2,53;4,17;4,23;6,15;1,60;71,10;203,01;3,59;30,32;7,47;2,47;4,17;4,37;6,08;1,40;71,10;202,19;3,58;30,65;7,74;2,51;4,13;4,34;6,13;1,37;75,37;205,22;3,58;30,08;7,48;2,49;4,09;4,33;6,08;1,37;76,13;204,84;3,58;30,84;7,14;2,48;4,10;4,15;6,13;1,35;75,39;207,07;3,58;31,23;6,82;2,43;4,10;4,28;6,16;1,41;73,51;200,71;3,58;
1600000;"OPOLSKIE";31,60;6,51;2,26;4,00;3,80;5,98;0,83;72,80;167,71;3,49;32,45;6,72;2,24;3,94;3,82;5,90;0,83;67,51;167,71;3,49;32,60;6,85;2,25;3,84;3,73;5,83;0,83;70,37;167,71;3,52;31,32;6,80;2,16;3,71;3,84;5,89;0,83;72,51;162,71;3,52;31,61;6,61;2,18;3,62;3,96;5,65;1,23;71,94;162,71;3,52;30,32;7,10;2,21;3,56;3,60;5,76;2,00;66,23;162,71;3,52;30,04;6,92;2,19;3,57;3,60;5,76;1,33;63,37;162,71;3,52;30,77;7,25;2,18;3,48;3,19;5,34;1,20;63,66;162,71;3,52;31,77;7,19;2,17;3,47;3,70;5,29;1,20;67,67;164,21;3,55;30,89;6,97;2,10;3,48;3,70;5,40;1,20;81,10;185,00;3,56;31,04;6,91;2,13;3,40;3,62;5,86;1,20;73,24;185,00;3,56;29,89;6,65;2,03;3,33;3,35;5,66;1,21;74,67;185,00;3,56;
1800000;"PODKARPACKIE";30,67;6,94;2,61;4,31;4,80;6,05;0,79;67,62;181,33;4,00;30,86;6,86;2,61;4,35;4,84;5,86;0,80;67,28;181,33;4,01;30,25;7,09;2,64;4,19;4,73;5,89;0,77;67,28;181,33;4,01;29,91;6,96;2,64;4,25;4,76;5,99;0,77;67,28;181,33;4,04;31,21;6,97;2,60;4,30;4,73;5,96;1,22;67,45;182,16;4,04;31,57;7,18;2,48;4,16;4,68;5,85;1,99;65,95;182,16;4,04;31,93;7,23;2,52;4,20;4,71;5,96;1,16;64,70;182,16;4,04;31,44;7,44;2,46;4,17;4,71;5,93;0,98;64,70;180,49;4,04;31,62;7,29;2,51;4,15;4,60;6,05;1,01;64,85;182,16;4,04;31,54;7,03;2,50;4,12;4,29;5,83;1,04;65,02;180,49;4,04;31,19;7,01;2,48;3,99;4,31;5,88;1,05;65,02;182,16;4,04;30,55;6,53;2,49;3,88;4,46;6,02;1,03;65,09;182,16;4,04;
